TIC,split,sector,camera,ccd,detector_x,detector_y,physics_nll,instrument_nll,physics_percentile,instrument_percentile,physics_rank,instrument_rank,physics_rank_all,instrument_rank_all,classification,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261204285,train,1,4,2,1966.3107964594708,64.98561754593622,309.3816,308.66757,0.88,0.8875,,,138,99,typical,0.015081519,7.884569,0.031690046,6.6467843
261156481,train,1,4,2,1981.2307121328083,41.77271954715563,220.6465,186.62242,0.51625,0.44,,,505,523,typical,0.8573775,10.29843,-0.5090358,8.355182
261156488,train,1,4,2,1983.0097580862544,40.87423030833125,211.45781,175.91862,0.46,0.4075,,,564,557,typical,-0.09271681,7.823606,-0.43755352,8.343245
261156480,train,1,4,2,1981.441582024369,42.03545076970815,166.52805,164.96927,0.16125,0.36875,,,851,599,typical,-1.3296007,9.751572,-0.4995257,8.3028965
261156474,train,1,4,2,1978.6313057907475,43.88367895398368,195.30809,164.048,0.3525,0.36125,,,669,605,typical,-0.8893039,10.467684,-0.4721034,8.258051
261156464,train,1,4,2,1969.6824478476576,41.135632619848394,217.08444,418.99115,0.4925,0.95875,,,528,35,instrument,-0.9512375,10.55845,-0.256242,8.046141
261156447,train,1,4,2,1964.6241334013675,46.11927210697501,306.22174,458.36462,0.87125,0.96875,,,146,26,instrument,5.646376,7.747643,0.14158545,6.9067173
261156443,train,1,4,2,1964.384659396907,50.64919929246442,316.5728,483.85516,0.8925,0.975,,,126,21,instrument,5.76885,8.853696,0.20996487,6.8815002
392025977,train,1,4,2,1969.1087431716703,37.240277699502855,170.80867,415.85544,0.2,0.9575,,,816,36,instrument,-0.8019326,10.495989,-0.29170492,7.9983525
392025965,train,1,4,2,1955.7757863315824,38.056400971746015,253.60365,234.53531,0.6925,0.68875,,,328,288,typical,5.5648837,7.7377872,0.03106744,7.2283835
392025962,train,1,4,2,1959.3832370706027,43.56137525697409,260.63235,358.18307,0.73,0.9225,,,294,65,typical,5.601198,7.786897,0.159634,6.9190726
392025956,train,1,4,2,1955.0737947453408,46.30072332706493,407.7246,384.60583,0.9625,0.9375,,,35,52,physics,4.600331,5.922599,0.14573751,6.8603115
392025953,train,1,4,2,1954.2449370274535,47.427625895651914,303.51657,363.7803,0.8675,0.92875,,,153,60,typical,-0.79377943,10.635213,0.18423639,6.8925176
261156446,train,1,4,2,1971.2295577895952,54.87590074299455,338.49673,541.6859,0.92,0.98625,,,90,12,instrument,5.6929655,7.73912,0.108382694,6.774073
261156442,train,1,4,2,1967.507333513612,54.32630478176343,459.6145,406.0974,0.97375,0.94875,,,26,43,physics,5.7454042,7.687735,0.14411111,6.8551927
261156428,train,1,4,2,1964.2488850777484,60.26590458360913,296.616,289.73505,0.855,0.85375,,,170,130,typical,6.175052,5.85335,0.09274747,6.744615
261204279,train,1,4,2,1962.5228659974805,63.694923870580055,295.22543,124.324875,0.85125,0.1875,,,173,780,typical,2.6080441,10.8632555,0.032396864,6.669218
392025936,train,1,4,2,1949.5463861871824,49.75233858200831,288.3498,251.88199,0.83625,0.75625,,,188,225,typical,5.903874,8.856121,0.19822502,6.8743443
392025916,train,1,4,2,1939.8553259307027,55.39172711726387,175.38557,216.46555,0.2225,0.61,,,795,366,typical,7.8213124,7.3873096,-1.3093644,3.2791207
